submit_on_enter.keys,submit_on_enter.rt,finish_on_enter.keys,finish_on_enter.rt,date,frameRate,expName,session,participant,
return,2.54733937838,,,2015_Jul_09_1111,59.2021802049,ResponseText,001,,
,,return,1.12180092359,2015_Jul_09_1111,59.2021802049,ResponseText,001,,
