trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_on_enter.keys,start_on_enter.rt,submit_on_enter.keys,submit_on_enter.rt,finish_on_enter.keys,finish_on_enter.rt,date,frameRate,expName,session,participant,
,,,,return,1.18560432081,,,,,2015_Jul_09_1116,59.614411367,ResponseText,001,,
0,0,0,0,,,return,0.896614632511,,,2015_Jul_09_1116,59.614411367,ResponseText,001,,
1,0,1,0,,,return,0.511383552526,,,2015_Jul_09_1116,59.614411367,ResponseText,001,,
2,0,2,0,,,return,0.51187183935,,,2015_Jul_09_1116,59.614411367,ResponseText,001,,
,,,,,,,,return,1.62336809597,2015_Jul_09_1116,59.614411367,ResponseText,001,,
