trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_on_enter.keys,start_on_enter.rt,submit_on_enter.keys,submit_on_enter.rt,finish_on_enter.keys,finish_on_enter.rt,date,frameRate,expName,session,participant,
,,,,return,1.50181014484,,,,,2015_Jul_09_1116,59.3231891864,ResponseText,001,,
0,0,0,0,,,return,1.59704598181,,,2015_Jul_09_1116,59.3231891864,ResponseText,001,,
1,0,1,0,,,return,1.9792697653,,,2015_Jul_09_1116,59.3231891864,ResponseText,001,,
2,0,2,0,,,return,2.24439633785,,,2015_Jul_09_1116,59.3231891864,ResponseText,001,,
,,,,,,,,return,1.35146171354,2015_Jul_09_1116,59.3231891864,ResponseText,001,,
